ts_iso,ts_ms,symbol,bybit_rate_8h,hl_rate_8h_equiv,bybit_mark,hl_mark,bybit_interval_min
2026-08-20T20:05:04+00:00,1787256304584,1000PEPE,0.0001000000,0.0001000000,0.003141,0.003145,480
2026-08-20T20:05:04+00:00,1787256304584,ADA,0.0001000000,0.0001000000,0.1958,0.19567,480
2026-08-20T20:05:04+00:00,1787256304584,SUI,0.0001000000,0.0001000000,0.7253,0.72577,480
2026-08-20T20:05:04+00:00,1787256304584,LINK,0.0000068500,0.0001000000,10.664,10.674,480
2026-08-20T20:05:04+00:00,1787256304584,TRUMP,0.0001000000,0.0001000000,1.647,1.6473,240
2026-08-20T20:05:04+00:00,1787256304584,ENA,0.0001000000,0.0001000000,0.10818,0.10822,240
2026-08-20T21:05:03+00:00,1787259903981,BTC,-0.0000272100,0.0001000000,72577.74,72585.0,480
2026-08-20T21:05:03+00:00,1787259903981,ETH,0.0000501200,0.0001000000,2315.96,2316.3,480
2026-08-20T21:05:03+00:00,1787259903981,SOL,0.0000978900,0.0001000000,87.63,87.66,480
2026-08-20T21:05:03+00:00,1787259903981,HYPE,0.0001000000,0.0003068712,74.022,74.011,480
2026-08-20T21:05:03+00:00,1787259903981,XRP,0.0001000000,0.0001000000,1.249,1.2504,480
2026-08-20T21:05:03+00:00,1787259903981,DOGE,0.0001000000,0.0002746392,0.08029,0.08039,480
2026-08-20T21:05:03+00:00,1787259903981,ZEC,0.0001000000,0.0004714736,577.14,577.58,480
2026-08-20T21:05:03+00:00,1787259903981,1000PEPE,0.0001000000,0.0006546056,0.0032084,0.003214,480
2026-08-20T21:05:03+00:00,1787259903981,ADA,0.0001000000,0.0001000000,0.1979,0.1979,480
2026-08-20T21:05:03+00:00,1787259903981,SUI,0.0001000000,0.0001000000,0.7303,0.73082,480
2026-08-20T21:05:03+00:00,1787259903981,LINK,0.0000391400,0.0001000000,10.596,10.609,480
2026-08-20T21:05:03+00:00,1787259903981,TRUMP,0.0001000000,0.0001000000,1.652,1.6532,240
2026-08-20T21:05:03+00:00,1787259903981,ENA,0.0001000000,0.0001464416,0.11272,0.11279,240
2026-08-20T22:05:03+00:00,1787263503452,BTC,-0.0000159600,-0.0000470920,72465.6,72465.0,480
2026-08-20T22:05:03+00:00,1787263503452,ETH,0.0000539100,0.0001000000,2309.12,2310.2,480
2026-08-20T22:05:03+00:00,1787263503452,SOL,0.0001000000,0.0001000000,87.224,87.26,480
2026-08-20T22:05:03+00:00,1787263503452,HYPE,0.0001000000,0.0002006688,74.246,74.254,480
2026-08-20T22:05:03+00:00,1787263503452,XRP,0.0001000000,0.0001000000,1.2549,1.2557,480
2026-08-20T22:05:03+00:00,1787263503452,DOGE,0.0001000000,0.0001000000,0.07973,0.079807,480
2026-08-20T22:05:03+00:00,1787263503452,ZEC,0.0001000000,0.0002307608,567.03,567.39,480
2026-08-20T22:05:03+00:00,1787263503452,1000PEPE,0.0001000000,0.0002845464,0.0031903,0.003194,480
2026-08-20T22:05:03+00:00,1787263503452,ADA,0.0001000000,0.0001000000,0.1968,0.19689,480
2026-08-20T22:05:03+00:00,1787263503452,SUI,0.0001000000,0.0001000000,0.73217,0.73289,480
2026-08-20T22:05:03+00:00,1787263503452,LINK,0.0000951000,0.0001000000,10.519,10.53354,480
2026-08-20T22:05:03+00:00,1787263503452,TRUMP,0.0001000000,0.0001000000,1.646,1.6467,240
2026-08-20T22:05:03+00:00,1787263503452,ENA,0.0001000000,0.0001000000,0.11322,0.11314,240
2026-08-20T23:05:04+00:00,1787267104171,BTC,0.0000082200,0.0001000000,72683.73,72685.0,480
2026-08-20T23:05:04+00:00,1787267104171,ETH,0.0000655800,0.0001000000,2314.44,2316.1,480
2026-08-20T23:05:04+00:00,1787267104171,SOL,0.0001000000,0.0001000000,87.263,87.303,480
2026-08-20T23:05:04+00:00,1787267104171,HYPE,0.0001000000,0.0005004144,73.829,73.855,480
2026-08-20T23:05:04+00:00,1787267104171,XRP,0.0001000000,0.0001000000,1.2576,1.2585,480
2026-08-20T23:05:04+00:00,1787267104171,DOGE,0.0001000000,0.0001000000,0.07939,0.079444,480
2026-08-20T23:05:04+00:00,1787267104171,ZEC,0.0001000000,0.0007225032,574.08,574.16,480
2026-08-20T23:05:04+00:00,1787267104171,1000PEPE,0.0001000000,0.0001636352,0.0032103,0.003213,480
2026-08-20T23:05:04+00:00,1787267104171,ADA,0.0001000000,0.0001000000,0.196,0.19595,480
2026-08-20T23:05:04+00:00,1787267104171,SUI,0.0001000000,0.0001000000,0.73043,0.73084,480
2026-08-20T23:05:04+00:00,1787267104171,LINK,0.0001000000,0.0001000000,10.622,10.63545,480
2026-08-20T23:05:04+00:00,1787267104171,TRUMP,0.0001000000,0.0001000000,1.62,1.6212,240
2026-08-20T23:05:04+00:00,1787267104171,ENA,0.0001000000,0.0001000000,0.11555,0.11535,240
2026-08-21T00:05:05+00:00,1787270705028,BTC,-0.0000521100,0.0001000000,73055.4,73070.0,480
2026-08-21T00:05:05+00:00,1787270705028,ETH,0.0001000000,0.0001000000,2324.56,2326.4,480
2026-08-21T00:05:05+00:00,1787270705028,SOL,0.0001000000,0.0001000000,87.554,87.571,480
2026-08-21T00:05:05+00:00,1787270705028,HYPE,0.0002613600,0.0005103304,73.66,73.732,480
2026-08-21T00:05:05+00:00,1787270705028,XRP,-0.0001353300,0.0001000000,1.2587,1.2597,480
2026-08-21T00:05:05+00:00,1787270705028,DOGE,0.0001000000,0.0001954936,0.08025,0.08037,480
2026-08-21T00:05:05+00:00,1787270705028,ZEC,0.0001000000,0.0006902984,566.6,566.8636,480
2026-08-21T00:05:05+00:00,1787270705028,1000PEPE,0.0001000000,0.0004613712,0.0032006,0.003203,480
2026-08-21T00:05:05+00:00,1787270705028,ADA,0.0001000000,0.0001000000,0.1984,0.19859,480
2026-08-21T00:05:05+00:00,1787270705028,SUI,0.0001000000,0.0001000000,0.733,0.73336,480
